# polynomial fit to KMOS IZ resolutions
# measured from the arc frame 2013-11-15T13:35:40.6517
# input wavelength (x) has to be in microns such that:
# resolution = p0 + p1*x + p2*x^2 + p3*x^3 + p4*x^4   
# ----------------------------------------------------
# IFU  p0  p1  p2  p3  p4  p5
 1         739805.12      -3230846.7       5297715.5      -3853447.9       1049736.8       0.0000000
 2         0.0000000       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000
 3        -1208979.1       5102161.6      -8048900.4       5637420.7      -1478572.4       0.0000000
 4        -3302581.6       14179176.      -22786408.       16254173.      -4340983.0       0.0000000
 5        -2530977.6       10900884.      -17575552.       12580560.      -3371425.0       0.0000000
 6        -1880944.7       8016596.3      -12787124.       9057037.1      -2402044.7       0.0000000
 7        -288847.86       1241616.0      -1997330.6       1434989.1      -386953.57       0.0000000
 8         404435.00      -1735463.8       2799623.6      -2002036.1       536786.47       0.0000000
 9         531659.97      -2357151.6       3923213.3      -2894487.7       800211.46       0.0000000
10         473714.01      -2095696.9       3471448.7      -2541363.4       695371.08       0.0000000
11        -804629.07       3481510.7      -5634062.1       4051295.4      -1090571.0       0.0000000
12        -1870479.3       8091965.3      -13099022.       9413610.3      -2532655.0       0.0000000
13         0.0000000       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000
14        -1032514.1       4447399.9      -7165246.1       5130186.7      -1376734.8       0.0000000
15        -317463.87       1316629.4      -2032860.6       1397807.3      -361163.07       0.0000000
16        -850991.48       3639652.4      -5801713.3       4098654.2      -1082719.7       0.0000000
17        -986315.33       4240008.9      -6804181.9       4842028.6      -1288091.7       0.0000000
18        -206088.85       885914.06      -1409126.5       993311.80      -260512.97       0.0000000
19        -192128.01       838736.94      -1356524.9       974146.62      -260662.28       0.0000000
20        -1722066.8       7495566.0      -12188339.       8785417.5      -2366949.7       0.0000000
21        -1030564.6       4436141.1      -7137137.3       5096649.0      -1361555.6       0.0000000
22        -681303.58       2830124.1      -4392976.2       3031028.1      -783445.72       0.0000000
23        -1486213.7       6206048.0      -9693742.7       6724843.9      -1747587.9       0.0000000
24        -2349081.9       9825565.6      -15389625.       10711968.      -2795558.3       0.0000000
