# polynomial fit to KMOS K resolutions
# measured from the arc frame 2016-01-19T12:07:29.8187
# input wavelength (x) has to be in microns such that:
# resolution = p0 + p1*x + p2*x^2 + p3*x^3 + p4*x^4   
# ----------------------------------------------------
# IFU  p0  p1  p2  p3  p4  p5
 1         617000.42      -1204893.1       871058.28      -275938.02       32454.158       0.0000000
 2        -2680680.0       4826186.1      -3256067.4       976769.14      -109869.01       0.0000000
 3        -3624696.6       6580864.8      -4474546.2       1351556.2      -152963.62       0.0000000
 4        -3763364.5       6846406.2      -4666103.0       1413174.9      -160410.11       0.0000000
 5        -2970653.6       5349753.2      -3610960.8       1083852.7      -122005.02       0.0000000
 6        -1401608.3       2485546.9      -1650968.4       488055.26      -54139.860       0.0000000
 7        -627310.76       1061697.0      -670403.35       188282.63      -19815.441       0.0000000
 8        -288779.31       426651.15      -223515.71       48351.523      -3364.7959       0.0000000
 9        -2151862.5       3859094.0      -2597989.3       778731.34      -87581.359       0.0000000
10        -2268364.0       4077697.6      -2753117.6       828221.89      -93574.402       0.0000000
11        -3604575.9       6489238.1      -4382516.4       1316858.4      -148462.93       0.0000000
12        -6852411.7       12446800.      -8472642.2       2562558.8      -290482.29       0.0000000
13        -5437952.6       9888844.1      -6742157.4       2043584.2      -232279.86       0.0000000
14        -3424981.0       6175834.0      -4177940.7       1258007.4      -142223.25       0.0000000
15        -1854992.2       3340323.0      -2258251.6       680613.96      -77133.913       0.0000000
16        -1737480.8       3113607.5      -2092025.0       625793.12      -70297.691       0.0000000
17        -565818.19       997728.26      -655385.16       190890.83      -20730.645       0.0000000
18         695928.26      -1265498.4       863937.43      -261367.10       29625.114       0.0000000
19        -3884566.2       6981729.5      -4693651.0       1399850.7      -156213.97       0.0000000
20        -3946685.7       7072880.5      -4740597.1       1409427.5      -156782.02       0.0000000
21        -3276129.2       5829836.2      -3876569.8       1142624.0      -125915.18       0.0000000
22        -1092911.6       1914181.6      -1248659.4       360636.96      -38885.797       0.0000000
23        -140972.28       198980.12      -90679.836       13585.328       52.804925       0.0000000
24        -885336.36       1503979.0      -944640.85       260854.88      -26689.004       0.0000000
