# polynomial fit to KMOS YJ resolutions
# measured from the arc frame 2016-01-19T12:18:11.7896
# input wavelength (x) has to be in microns such that:
# resolution = p0 + p1*x + p2*x^2 + p3*x^3 + p4*x^4   
# ----------------------------------------------------
# IFU  p0  p1  p2  p3  p4  p5
 1         133658.15      -485499.48       662766.02      -396877.84       88716.545       0.0000000
 2        -1298030.3       4372107.1      -5506504.9       3079915.3      -645013.88       0.0000000
 3        -1474791.9       5107249.8      -6609755.2       3795561.4      -815410.72       0.0000000
 4        -2721483.4       9184409.0      -11597563.       6500792.0      -1364262.5       0.0000000
 5        -1662646.9       5567721.7      -6982181.0       3892675.7      -813552.46       0.0000000
 6        -1079335.2       3657674.0      -4635656.7       2610411.4      -550545.02       0.0000000
 7        -370022.30       1218603.7      -1494061.2       814258.98      -166032.63       0.0000000
 8        -160951.49       499380.46      -563237.53       276805.35      -49251.771       0.0000000
 9        -659874.27       2242566.8      -2856627.7       1621012.5      -344851.89       0.0000000
10        -1254052.9       4297209.9      -5517850.1       3151316.6      -674508.22       0.0000000
11        -1552176.2       5285133.6      -6746915.0       3832226.6      -816358.28       0.0000000
12        -2205501.7       7550785.1      -9685928.3       5522716.6      -1180267.7       0.0000000
13        -2248746.3       7672177.2      -9807641.6       5573190.3      -1187276.3       0.0000000
14        -1607015.0       5430237.4      -6873914.5       3870079.6      -817430.07       0.0000000
15        -841764.91       2854919.7      -3623192.7       2046014.3      -433574.33       0.0000000
16        -235864.74       814190.68      -1040479.2       589845.61      -124972.47       0.0000000
17        -349002.12       1222487.5      -1578781.4       896210.24      -188080.11       0.0000000
18         239311.70      -781200.76       968051.92      -535553.42       112269.62       0.0000000
19        -1775333.8       5971648.5      -7498948.4       4171115.0      -866416.54       0.0000000
20        -2499382.9       8495585.9      -10786212.       6067056.5      -1275035.2       0.0000000
21        -1444371.3       4877442.2      -6145715.2       3429070.6      -714237.05       0.0000000
22        -1088873.4       3673643.5      -4621801.3       2575184.8      -535723.98       0.0000000
23        -259873.64       871142.37      -1073477.6       581624.52      -116541.94       0.0000000
24         15002.996      -77534.411       157247.98      -128592.45       37082.708       0.0000000
